homology_group	records	negative_records	positive_records	member_ids
HPCLAS_TRAIN_P_005154	2	1	1	HPCLAS_TRAIN_N_001367;HPCLAS_TRAIN_P_005154
HPCLAS_TRAIN_P_005255	2	1	1	HPCLAS_TRAIN_N_000611;HPCLAS_TRAIN_P_005255
HPCLAS_TRAIN_P_005417	2	1	1	HPCLAS_TRAIN_N_003875;HPCLAS_TRAIN_P_005417
HPCLAS_TRAIN_P_005478	2	1	1	HPCLAS_TRAIN_N_003852;HPCLAS_TRAIN_P_005478
HPCLAS_TRAIN_P_005574	2	1	1	HPCLAS_TRAIN_N_001737;HPCLAS_TRAIN_P_005574
HPCLAS_TRAIN_P_005828	2	1	1	HPCLAS_TRAIN_N_000988;HPCLAS_TRAIN_P_005828
HPCLAS_TRAIN_P_005887	2	1	1	HPCLAS_TRAIN_N_003541;HPCLAS_TRAIN_P_005887
HPCLAS_TRAIN_P_006028	2	1	1	HPCLAS_TRAIN_N_000532;HPCLAS_TRAIN_P_006028
HPCLAS_TRAIN_P_006064	2	1	1	HPCLAS_TRAIN_N_003712;HPCLAS_TRAIN_P_006064
HPCLAS_TRAIN_P_006145	2	1	1	HPCLAS_TRAIN_N_001946;HPCLAS_TRAIN_P_006145
HPCLAS_TRAIN_P_006160	2	1	1	HPCLAS_TRAIN_N_004901;HPCLAS_TRAIN_P_006160
HPCLAS_TRAIN_P_006321	2	1	1	HPCLAS_TRAIN_N_004400;HPCLAS_TRAIN_P_006321
HPCLAS_TRAIN_P_006358	2	1	1	HPCLAS_TRAIN_N_003064;HPCLAS_TRAIN_P_006358
HPCLAS_TRAIN_P_006483	2	1	1	HPCLAS_TRAIN_N_001206;HPCLAS_TRAIN_P_006483
HPCLAS_TRAIN_P_006511	2	1	1	HPCLAS_TRAIN_N_003938;HPCLAS_TRAIN_P_006511
HPCLAS_TRAIN_P_006534	2	1	1	HPCLAS_TRAIN_N_001060;HPCLAS_TRAIN_P_006534
HPCLAS_TRAIN_P_006643	2	1	1	HPCLAS_TRAIN_N_002261;HPCLAS_TRAIN_P_006643
HPCLAS_TRAIN_P_006659	2	1	1	HPCLAS_TRAIN_N_000736;HPCLAS_TRAIN_P_006659
HPCLAS_TRAIN_P_006779	2	1	1	HPCLAS_TRAIN_N_000814;HPCLAS_TRAIN_P_006779
HPCLAS_TRAIN_P_006891	2	1	1	HPCLAS_TRAIN_N_000664;HPCLAS_TRAIN_P_006891
HPCLAS_TRAIN_P_006923	2	1	1	HPCLAS_TRAIN_N_000319;HPCLAS_TRAIN_P_006923
HPCLAS_TRAIN_P_007044	2	1	1	HPCLAS_TRAIN_N_002926;HPCLAS_TRAIN_P_007044
HPCLAS_TRAIN_P_007046	2	1	1	HPCLAS_TRAIN_N_000516;HPCLAS_TRAIN_P_007046
HPCLAS_TRAIN_P_007088	2	1	1	HPCLAS_TRAIN_N_003903;HPCLAS_TRAIN_P_007088
HPCLAS_TRAIN_P_007210	2	1	1	HPCLAS_TRAIN_N_004533;HPCLAS_TRAIN_P_007210
HPCLAS_TRAIN_P_007218	2	1	1	HPCLAS_TRAIN_N_004759;HPCLAS_TRAIN_P_007218
HPCLAS_TRAIN_P_007237	2	1	1	HPCLAS_TRAIN_N_004571;HPCLAS_TRAIN_P_007237
HPCLAS_TRAIN_P_007262	2	1	1	HPCLAS_TRAIN_N_003688;HPCLAS_TRAIN_P_007262
HPCLAS_TRAIN_P_007394	2	1	1	HPCLAS_TRAIN_N_004313;HPCLAS_TRAIN_P_007394
HPCLAS_TRAIN_P_007455	2	1	1	HPCLAS_TRAIN_N_004607;HPCLAS_TRAIN_P_007455
